price,city,property_type,number_of_reviews,review_rating,season
135.0,FOURTH WARD,Entire home/apt,119,4.66,spring
343.0,FIFTEENTH WARD,Entire home/apt,40,4.98,spring
83.0,TENTH WARD,Entire home/apt,105,4.75,spring
110.0,SIXTH WARD,Entire home/apt,69,4.93,spring
92.0,SIXTH WARD,Entire home/apt,133,4.9,spring
144.0,SIXTH WARD,Entire home/apt,243,4.98,spring
164.0,SIXTH WARD,Entire home/apt,224,4.98,spring
97.0,NINTH WARD,Entire home/apt,56,4.93,summer
77.0,TENTH WARD,Entire home/apt,57,4.82,spring
68.0,NINTH WARD,Entire home/apt,2,3.0,summer
92.0,THIRD WARD,Entire home/apt,45,4.69,spring
118.0,SECOND WARD,Entire home/apt,13,5.0,fall
96.0,THIRTEENTH WARD,Private room,123,4.97,summer
214.0,SIXTH WARD,Entire home/apt,11,5.0,fall
98.0,SIXTH WARD,Entire home/apt,177,4.9,spring
135.0,SIXTH WARD,Entire home/apt,8,5.0,winter
133.0,SECOND WARD,Entire home/apt,10,5.0,summer
133.0,SEVENTH WARD,Entire home/apt,16,4.44,summer
1486.0,FOURTEENTH WARD,Entire home/apt,15,5.0,winter
99.0,SECOND WARD,Entire home/apt,57,4.75,spring
98.0,SECOND WARD,Entire home/apt,57,4.6,spring
1050.0,SECOND WARD,Entire home/apt,10,3.7,summer
90.0,SECOND WARD,Entire home/apt,8,4.75,fall
130.0,SIXTH WARD,Entire home/apt,6,5.0,fall
104.0,FOURTH WARD,Entire home/apt,51,4.57,winter
140.0,FIRST WARD,Entire home/apt,5,5.0,fall
125.0,FIRST WARD,Entire home/apt,2,5.0,summer
109.0,SIXTH WARD,Entire home/apt,103,4.9,spring
60.0,FOURTEENTH WARD,Private room,136,4.98,spring
74.0,FOURTEENTH WARD,Private room,114,4.93,spring
181.0,SECOND WARD,Entire home/apt,3,3.33,spring
198.0,SECOND WARD,Entire home/apt,4,3.25,spring
84.0,SIXTH WARD,Entire home/apt,266,4.9,spring
104.0,ELEVENTH WARD,Entire home/apt,104,4.81,winter
158.0,THIRTEENTH WARD,Entire home/apt,4,5.0,spring
82.0,THIRTEENTH WARD,Entire home/apt,3,5.0,spring
109.0,SECOND WARD,Entire home/apt,8,4.88,spring
137.0,THIRTEENTH WARD,Entire home/apt,65,4.88,spring
151.0,NINTH WARD,Entire home/apt,232,4.91,spring
101.0,SIXTH WARD,Entire home/apt,64,4.98,spring
68.0,SIXTH WARD,Entire home/apt,1,5.0,spring
80.0,THIRD WARD,Entire home/apt,79,4.68,summer
157.0,TENTH WARD,Entire home/apt,46,4.61,spring
60.0,NINTH WARD,Private room,38,4.97,spring
90.0,NINTH WARD,Entire home/apt,17,4.71,spring
77.0,SEVENTH WARD,Entire home/apt,32,4.97,spring
107.0,SEVENTH WARD,Entire home/apt,17,4.65,summer
115.0,FIFTH WARD,Entire home/apt,27,4.96,winter
156.0,SECOND WARD,Entire home/apt,84,4.82,spring
97.0,SECOND WARD,Entire home/apt,88,4.81,spring
47.0,SIXTH WARD,Private room,17,4.94,winter
65.0,SIXTH WARD,Entire home/apt,14,5.0,spring
140.0,THIRTEENTH WARD,Entire home/apt,51,4.96,spring
98.0,SIXTH WARD,Entire home/apt,45,4.91,spring
77.0,TENTH WARD,Private room,31,5.0,winter
63.0,FOURTEENTH WARD,Entire home/apt,62,4.89,spring
46.0,FOURTEENTH WARD,Private room,18,4.78,summer
97.0,THIRD WARD,Entire home/apt,3,5.0,winter
128.0,SIXTH WARD,Entire home/apt,4,4.5,fall
86.0,FIFTH WARD,Entire home/apt,36,4.75,fall
227.0,FOURTEENTH WARD,Entire home/apt,110,4.95,spring
128.0,SECOND WARD,Entire home/apt,67,4.82,spring
91.0,FIFTH WARD,Entire home/apt,14,4.43,spring
821.0,NINTH WARD,Entire home/apt,5,4.6,summer
56.0,TENTH WARD,Private room,14,4.93,fall
